title,link,price,likes
"ASUS Zenbook UM433D - Ultraslim 14"" FHD - AMD Ryzen 7-3700U - 8GB RAM - 512GB SSD - Laptop Computer Bundle with McAfee Antivirus 1-Year $699.99 + FS @ circuit city",https://slickdeals.net/f/13951634-asus-zenbook-um433d-ultraslim-14-fhd-amd-ryzen-7-3700u-8gb-ram-512gb-ssd-laptop-computer-bundle-with-mcafee-antivirus-1-year-699-99-fs-circuit-city?src=catpagev2,N/A,7
"MSI Modern 15.6 FHD, Core i7, 16 GB ram, NVIDIA GeForce MX330 2G GDDR5, 512 SSD $949.99",https://slickdeals.net/f/13985105-msi-modern-15-6-fhd-core-i7-16-gb-ram-nvidia-geforce-mx330-2g-gddr5-512-ssd-949-99?src=catpagev2,$949,2
AMD Ryzen 5 3600X Matisse 3.8GHz 6-Core AM4 Boxed Processor with Wraith Spire Cooler $179.99,https://slickdeals.net/f/13985048-amd-ryzen-5-3600x-matisse-3-8ghz-6-core-am4-boxed-processor-with-wraith-spire-cooler-179-99?src=catpagev2,$179.99,2
Intel Core i9-9900K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor $479.99,https://slickdeals.net/f/13985045-intel-core-i9-9900k-coffee-lake-3-6ghz-eight-core-lga-1151-boxed-processor-479-99?src=catpagev2,$479.99,0
ABKONCORE True 100% Anti-Ghosting Mechanical Keyboard $32.49 + FSSS,https://slickdeals.net/f/13983596-abkoncore-true-100-anti-ghosting-mechanical-keyboard-32-49-fsss?src=catpagev2,$32.49,17
TP-Link 16 Port Switch Gigabit | Ethernet Network Switch |  Unmanaged (TL-SG116) - Amazon - $44.99 + FSSS,https://slickdeals.net/f/13983989-tp-link-16-port-switch-gigabit-ethernet-network-switch-unmanaged-tl-sg116-amazon-44-99-fsss?src=catpagev2,N/A,6
"AVG Ultimate 2020, 3 Devices 2 Years - Download - $19.99 AC",https://slickdeals.net/f/13984865-avg-ultimate-2020-3-devices-2-years-download-19-99-ac?src=catpagev2,$19.99,1
Amazon: Acer Chromebook Bundle (Laptop + Protective Sleeve + Wireless Mouse) for $274.99. Free Shipping.,https://slickdeals.net/f/13983311-amazon-acer-chromebook-bundle-laptop-protective-sleeve-wireless-mouse-for-274-99-free-shipping?src=catpagev2,$274.99,11
SanDisk - Ultra Plus 256GB microSDXC UHS-I Memory Card $45,https://slickdeals.net/f/13984667-sandisk-ultra-plus-256gb-microsdxc-uhs-i-memory-card-45?src=catpagev2,$44.99,0
Cooler Master MasterCase H100 Mini-ITX Case(MCM-H100-KANN-S00) - $57 AR Shipped,https://slickdeals.net/f/13937963-cooler-master-mastercase-h100-mini-itx-case-mcm-h100-kann-s00-57-ar-shipped?src=catpagev2,$56.98,18
